handle,post_handle,post,post_timestamp,post_id,like_timestamp
rjelevi.bsky.social,doonethingforme.bsky.social,Oof,2026-05-07T03:54:35.233Z,at://did:plc:ucdzk2bacygm5wtp4yd5sjjk/app.bsky.feed.post/3mlacylczs22g,2026-05-07T04:30:35.417Z
rjelevi.bsky.social,adinayoffie.bsky.social,"Oh, thank you! That would be great if it could be made to work!",2026-05-07T03:35:46.877Z,at://did:plc:oyywiwginoongwvcaxdh223j/app.bsky.feed.post/3mlabwxadn22b,2026-05-07T03:36:16.870Z
rjelevi.bsky.social,jgersn.bsky.social,Interestingly I was anemic last year but my hemo says I’m good now so I didn’t connect this before but..maybe they did? Ask about going rx?,2026-05-07T03:33:29.564Z,at://did:plc:pomk3bxg3gbdrntyfxygypve/app.bsky.feed.post/3mlabsubuvs2c,2026-05-07T03:35:18.133Z
rjelevi.bsky.social,adinayoffie.bsky.social,Yeah…,2026-05-07T03:33:57.107Z,at://did:plc:oyywiwginoongwvcaxdh223j/app.bsky.feed.post/3mlabtokgek2b,2026-05-07T03:35:09.784Z
rjelevi.bsky.social,adinayoffie.bsky.social,It is a real and extreme bitch even to reduce. I applaud you for trying.,2026-05-07T03:31:20.343Z,at://did:plc:oyywiwginoongwvcaxdh223j/app.bsky.feed.post/3mlaboz2ejk2b,2026-05-07T03:32:19.557Z
rjelevi.bsky.social,allthinky.bsky.social,So true. Take another week off.,2026-05-06T19:53:26.983Z,at://did:plc:vmtohkz4pkhrs7olgj6lbicq/app.bsky.feed.post/3ml7i4afze22k,2026-05-06T19:54:10.102Z
rjelevi.bsky.social,joshstein.bsky.social,"""I think it's more important that they believe in themselves."" - Ted Lasso",2026-05-06T18:45:28.979Z,at://did:plc:nqoevlbtwe6v6dnmfzx5ccba/app.bsky.feed.post/3ml7ecpd5mk23,2026-05-06T18:45:52.738Z
rjelevi.bsky.social,joelhs.bsky.social,This is a helpful map of the legal status of the territory undermined by the fact that it is apparently a map of Larshi.,2026-05-06T18:33:28.317Z,at://did:plc:cmvc2f5b5fou3ijbgagiovlj/app.bsky.feed.post/3ml7dna2e3k2z,2026-05-06T18:35:05.867Z
rjelevi.bsky.social,tlecaque.bsky.social,"I have four healthy children, all of whom are vaccinated, and the rage and fear I feel constantly that they live in a world where polio and measles and shit like that is back and raging because of these malignant fuckweasels is.... unsustainable.",2026-05-06T15:25:40.503Z,at://did:plc:sdm3miabczvizxaus22if3s3/app.bsky.feed.post/3ml6z5g7vjk2b,2026-05-06T15:35:38.865Z
rjelevi.bsky.social,tlecaque.bsky.social,This is one of my most authoritarian beliefs I hold deeply and this is also why it is probably good I hold no power but every single news story inspires such rage.,2026-05-06T15:24:46.495Z,at://did:plc:sdm3miabczvizxaus22if3s3/app.bsky.feed.post/3ml6z3sppdk2b,2026-05-06T15:35:34.717Z
rjelevi.bsky.social,tlecaque.bsky.social,"I don't believe in the right of anti-vaxxers to make their own choices or choices for their children and I know that opens a whole can of legal worms and also I am so, so, so tired of stories of dead children because their parents are conspiracy addled deviants.",2026-05-06T15:24:11.679Z,at://did:plc:sdm3miabczvizxaus22if3s3/app.bsky.feed.post/3ml6z2rjacs2b,2026-05-06T15:35:33.429Z
elainechen.com,kateheartfield.com,"Good morning! My novel MERCUTIO is out in the UK today. The best thing I've done. My thanks to my editor Jane Johnson, my agent Jennie Goloboy, to Leo Nickolls for the cover, and to Maxim Reston for the audiobook:",2026-05-07T11:29:10.718Z,at://did:plc:r6qzbptygmyrf6kzcgil6avc/app.bsky.feed.post/3mlb4fhaslk2t,2026-05-07T20:27:21.448Z
elainechen.com,karenho.bsky.social,"A nice thing about being an adult with savings is I can buy my mom and sister flowers for Mother's Day and have them delivered. My dad did not do this for my mom when I was a kid, but I could be different. And I remembered to order some nice bouquets from my sister's favorite florist.",2026-05-07T20:05:02.002Z,at://did:plc:6fnzney5yhgjcbw664awibcm/app.bsky.feed.post/3mlbz7uozuk27,2026-05-07T20:27:07.421Z
elainechen.com,pauljessup.com,"Oh, the 25k mark in this new novel. Losing faith in it. Getting cold feet.

I KNOW THE CURE

MAKE IT WEIRDER

*ups the insanity*

ah yes, that's better.",2026-05-07T20:05:28.060Z,at://did:plc:kuxnalge3an7gkje2gqwolgz/app.bsky.feed.post/3mlbzanka5s2s,2026-05-07T20:26:59.866Z
elainechen.com,spavel.bsky.social,"As students increasingly rebel against their education being replaced by a chatbot, AI will establish a reputation as boomer technology",2026-05-07T20:17:35.029Z,at://did:plc:o7xt7svg2xtjbb4e2xqahqqc/app.bsky.feed.post/3mlbzwctkt22p,2026-05-07T20:26:02.744Z
elainechen.com,devanbarlow.bsky.social,BOOP!,2026-05-07T16:11:53.705Z,at://did:plc:biecll2g2woff4xggnqbxozq/app.bsky.feed.post/3mlbm6ygbgs2y,2026-05-07T18:04:31.647Z
elainechen.com,phoebebarton.bsky.social,"if you like my photos, consider also buying this shirt, which features a photo I took, released into the public domain, and never expected to see on a shirt",2026-05-07T02:11:32.748Z,at://did:plc:fvnooyn2owuoq3eyuz4tmxdc/app.bsky.feed.post/3mla5adalr22d,2026-05-07T02:17:23.467Z
elainechen.com,kuragari.bsky.social,"People like that don't deserve to enjoy it anyway. 
I can't really say I know Chinese food anyway. I only know Chinese American but I still like it.",2026-05-06T21:22:07.806Z,at://did:plc:4guzpffsirbww5oxtbixvsov/app.bsky.feed.post/3ml7n2sqlmc27,2026-05-06T21:29:51.048Z
elainechen.com,karenho.bsky.social,"The fertility rate going down is good because it means fewer teens are having kids, people are thinking hard about how many kids they can actually afford, and fewer women who don't want kids aren't being forced to have them.",2026-05-06T17:57:01.386Z,at://did:plc:6fnzney5yhgjcbw664awibcm/app.bsky.feed.post/3ml7bm2gjbs2q,2026-05-06T21:12:44.118Z
elainechen.com,elianeboey.bsky.social,Very excited and not at all chill  about a thing in my inbox 👁🕷🥩 watch this space!,2026-05-06T14:00:15.668Z,at://did:plc:4rg5nrvvdvn43eze3kwmydru/app.bsky.feed.post/3ml6ueosgrk2c,2026-05-06T14:03:55.802Z
elainechen.com,spavel.bsky.social,as if they don't end up doing both,2026-05-06T13:49:21.584Z,at://did:plc:o7xt7svg2xtjbb4e2xqahqqc/app.bsky.feed.post/3ml6tr6zbws2b,2026-05-06T13:52:43.438Z
elainechen.com,vriccithode.bsky.social,it's dog o'clock,2026-05-06T13:17:01.707Z,at://did:plc:amamlcboteqqpy5qdnev5bc6/app.bsky.feed.post/3ml6rxezyle2t,2026-05-06T13:24:22.913Z
flicknow.xyz,utopia-defer.red,#love #weightlifting,2026-05-07T16:13:13.546Z,at://did:plc:dsbpb3w7glnyddtbewg73g74/app.bsky.feed.post/3mlbmbekw3s2i,2026-05-07T16:23:59.633Z
flicknow.xyz,utopia-defer.red,"straight up i might just use a straw for this, why even pretend this is a remotely normal or appealing meal",2026-05-07T16:11:15.654Z,at://did:plc:dsbpb3w7glnyddtbewg73g74/app.bsky.feed.post/3mlbm5u4tgc2i,2026-05-07T16:23:57.878Z
flicknow.xyz,utopia-defer.red,"I forgot to make rice this morning and now i need to catch back up on all carbs, protein, and calories lol",2026-05-07T16:07:55.320Z,at://did:plc:dsbpb3w7glnyddtbewg73g74/app.bsky.feed.post/3mlblxv34qs2i,2026-05-07T16:23:56.612Z
flicknow.xyz,utopia-defer.red,what’s wrong babe why aren’t you touching your 800cal/60g protein bowl of oatmeal,2026-05-07T16:06:45.212Z,at://did:plc:dsbpb3w7glnyddtbewg73g74/app.bsky.feed.post/3mlblvs7lvs2i,2026-05-07T16:23:56.084Z
flicknow.xyz,spacefrog.dev,very much taking a wait-and-see approach to this one,2026-05-07T15:45:10.696Z,at://did:plc:b3ddarwfwuulrq7p2cfwhvmz/app.bsky.feed.post/3mlbkp7o44s2v,2026-05-07T16:15:41.733Z
flicknow.xyz,spacefrog.dev,I question the stated 50% lethality rate of the andes strain of the hantavirus because we may just not know about a lot of mild cases ¯\_(ツ)_/¯,2026-05-07T15:44:29.000Z,at://did:plc:b3ddarwfwuulrq7p2cfwhvmz/app.bsky.feed.post/3mlbknxvnes2v,2026-05-07T16:15:40.819Z
flicknow.xyz,huwupy.kawaii.social,unfortunate,2026-05-07T07:59:31.534Z,at://did:plc:vw4e7blkwzdokanwp24k3igr/app.bsky.feed.post/3mlaqokswwk2o,2026-05-07T08:33:54.655Z
flicknow.xyz,spacefrog.dev,I would fight an 8 year old boy too so it’s hard to blame trump for that one,2026-05-06T21:27:31.510Z,at://did:plc:b3ddarwfwuulrq7p2cfwhvmz/app.bsky.feed.post/3ml7nehhasc2g,2026-05-06T21:28:40.499Z
flicknow.xyz,alseever.bsky.social,😂👍,2026-05-06T20:46:11.750Z,at://did:plc:nptvftzi7rf2t3shbayaojy3/app.bsky.feed.post/3ml7l2kkz5k2w,2026-05-06T21:27:15.527Z
flicknow.xyz,onlymemes.bsky.social,Correct,2026-05-06T20:57:48.472Z,at://did:plc:jnxmsrt33s72leldfmikq3fx/app.bsky.feed.post/3ml7lpczens2x,2026-05-06T21:27:13.552Z
flicknow.xyz,hilarybaumann.com,Multiple times I thought I had managed to get a photo of this and haven’t. This tractor and bike sign is on several roads around here. Not a joke. I have seen both on said roads.,2026-05-06T20:23:37.301Z,at://did:plc:tbr4cunn6r4hox73ybzjfwt3/app.bsky.feed.post/3ml7js6ukys26,2026-05-06T20:36:39.913Z
flicknow.xyz,juliet.paris,critical update to PDSls as i fixed the layout shift when initiating a stream,2026-05-06T19:38:03.883Z,at://did:plc:hs3aly5l26pozymy4b6hz7ae/app.bsky.feed.post/3ml7haq36kk2n,2026-05-06T19:50:12.567Z
flicknow.xyz,onlymemes.bsky.social,Good morning skeeters. Sage advice from someone who always had a hand up their butt.,2026-05-06T13:36:49.948Z,at://did:plc:jnxmsrt33s72leldfmikq3fx/app.bsky.feed.post/3ml6t2s7g7s2g,2026-05-06T15:13:03.259Z
joshuaerlich.bsky.social,hurricanexyz.bsky.social,"And so this presses upon us the following question: if America cannot be called democratic anymore, what, uhhh, what should we do about it?

How should we regard this thing that calls itself our government?",2026-05-07T21:09:33.222Z,at://did:plc:v47w2oqbv7pbplwenk3mwpxp/app.bsky.feed.post/3mlc4talb6c26,2026-05-08T00:38:39.480Z
joshuaerlich.bsky.social,hurricanexyz.bsky.social,"State legislatures? Gerrymandered. The House? Gerrymandered. The Senate? Malapportioned. The presidency? Malapportioned. The courts? Largely beyond any kind of popular control.

Governorships are still okay, I guess, but that's it.

And now we're extinguishing black representation again",2026-05-07T21:08:56.682Z,at://did:plc:v47w2oqbv7pbplwenk3mwpxp/app.bsky.feed.post/3mlc4s5q6kk26,2026-05-08T00:38:27.551Z
joshuaerlich.bsky.social,hurricanexyz.bsky.social,"If America is still any kind of democracy, it would seem to only be in the very minimal sense, a place where parties lose elections. Probably that can still happen here.

Beyond that, our institutions do not at *all* conform to democratic principles, like none of them, and it's getting worse",2026-05-07T21:07:38.983Z,at://did:plc:v47w2oqbv7pbplwenk3mwpxp/app.bsky.feed.post/3mlc4ptmxnk26,2026-05-08T00:38:13.020Z
joshuaerlich.bsky.social,hurricanexyz.bsky.social,"It's not that controversial, in pretty mainstream circles, to say that American democracy began in 1965

This would seem to have: Implications",2026-05-07T21:01:24.882Z,at://did:plc:v47w2oqbv7pbplwenk3mwpxp/app.bsky.feed.post/3mlc4eoudmk26,2026-05-08T00:37:34.919Z
joshuaerlich.bsky.social,swolecialism.bsky.social,"I dunno, what do we think lads",2026-05-08T00:06:49.595Z,at://did:plc:7kra3m5l4sl2pa6w5l35mi5f/app.bsky.feed.post/3mlcgqa7m6k2d,2026-05-08T00:36:13.995Z
joshuaerlich.bsky.social,leavittalone.bsky.social,Had to coincide with my peak working in nyc nightlife /willingness to do crime,2026-05-08T00:32:32.249Z,at://did:plc:lxsue7d6cyqiwpsdr54v2urh/app.bsky.feed.post/3mlci67foa22z,2026-05-08T00:33:53.608Z
joshuaerlich.bsky.social,leavittalone.bsky.social,Wait no it was post 08 and another band of sinilar profile,2026-05-08T00:31:13.144Z,at://did:plc:lxsue7d6cyqiwpsdr54v2urh/app.bsky.feed.post/3mlci3txlas2z,2026-05-08T00:33:47.645Z
joshuaerlich.bsky.social,leavittalone.bsky.social,He can cry to a Barrymore or whatever about it,2026-05-08T00:19:48.036Z,at://did:plc:lxsue7d6cyqiwpsdr54v2urh/app.bsky.feed.post/3mlchhglqhs2z,2026-05-08T00:33:42.785Z
joshuaerlich.bsky.social,leavittalone.bsky.social,I might have pick-pocketed their drummer for cab fare home in like 2005 I don’t remember it was Lit Lounge and I was on drugs,2026-05-08T00:19:15.578Z,at://did:plc:lxsue7d6cyqiwpsdr54v2urh/app.bsky.feed.post/3mlchghn77c2z,2026-05-08T00:33:39.941Z
joshuaerlich.bsky.social,leavittalone.bsky.social,The strokes is about how cheap cocaine was in 2003 Brooklyn,2026-05-08T00:11:58.939Z,at://did:plc:lxsue7d6cyqiwpsdr54v2urh/app.bsky.feed.post/3mlcgzh7zwk2z,2026-05-08T00:33:28.307Z
joshuaerlich.bsky.social,lukeoneil47.bsky.social,The Strokes isn’t about any of all of that it’s about being 24 and an alcoholic and hooking up with someone you don’t like and never see again and never getting over it.,2026-05-08T00:09:24.819Z,at://did:plc:4d7w4ylnasmg7oayamznsznp/app.bsky.feed.post/3mlcguuap3s2i,2026-05-08T00:33:13.958Z
joshuaerlich.bsky.social,jdmortenson.bsky.social,goodness gracious sakes alive and a bouquet of bluebells,2026-05-08T00:25:39.091Z,at://did:plc:m2f5skwf2in2bfhmowwrbjms/app.bsky.feed.post/3mlchrvf4ls2r,2026-05-08T00:30:34.517Z
joshuaerlich.bsky.social,inafutureage.bsky.social,"Annihilation (Dir. Garland, 2018)",2026-05-08T00:29:28.981Z,at://did:plc:6ubw622ecoiwoihngsxrsx6n/app.bsky.feed.post/3mlchyqmskc2c,2026-05-08T00:29:53.990Z
joshuaerlich.bsky.social,rezekjoe.bsky.social,"Breaking NEWS!!

Federal judge rules DOGE illegally terminated NEH grants last year in a summary judgment in favor of plaintiffs AHA, ACLA, and MLA, and orders the restoration of 1400 terminated grants",2026-05-07T23:02:37.891Z,at://did:plc:37m5h6wl2dh2wqiyncbpzpmo/app.bsky.feed.post/3mlcd5gx6ck2k,2026-05-08T00:29:31.631Z
joshuaerlich.bsky.social,themountaingoats.bsky.social,fucking awesome,2026-05-07T23:05:59.728Z,at://did:plc:3pv3xjtaidyjlovzknuztffc/app.bsky.feed.post/3mlcddhgiws2t,2026-05-08T00:29:27.731Z
joshuaerlich.bsky.social,gonebabygone.bsky.social,"Whoever came up with ""the most evil CIA motherfucker God ever made has the style and mannerisms of your 'cool' boss"" was really cooking with gas",2026-05-08T00:16:06.128Z,at://did:plc:spz7xtxwn7tareapqzouydsh/app.bsky.feed.post/3mlchasxrds2p,2026-05-08T00:16:29.047Z
joshuaerlich.bsky.social,mikeelk.bsky.social,"Payday lost a major grant worth 1/3 of our budget as a result of Trump's cut to non-profits. 

Can u donate today to keep Payday alive after 10 years & 1,500 articles published? 

paydayreport.com/payday-to-lo...",2026-05-07T23:54:10.544Z,at://did:plc:aeh3g3o3lspgs2zkrshll3ns/app.bsky.feed.post/3mlcfzmd7gs2l,2026-05-08T00:10:38.608Z
joshuaerlich.bsky.social,mags.colvett.online,"Set a goal in therapy today that I am sharing with you all: since a gas leak incident in 2022, I have essentially organized my entire life around not using my stovetop, and this week I am going to face my fears and cook an omelette",2026-05-07T23:56:34.735Z,at://did:plc:u7x7lujm5mxy25eeepqgu3nk/app.bsky.feed.post/3mlcg5vtlws2f,2026-05-08T00:00:13.327Z
joshuaerlich.bsky.social,evanbernick.bsky.social,Keep your distance or this could happen,2026-05-07T23:56:14.384Z,at://did:plc:f4d76fjna5nxqsy2fu6cgmp3/app.bsky.feed.post/3mlcg5cgluk2o,2026-05-07T23:57:06.867Z
joshuaerlich.bsky.social,evanbernick.bsky.social,,2026-05-07T23:45:03.445Z,at://did:plc:f4d76fjna5nxqsy2fu6cgmp3/app.bsky.feed.post/3mlcfjcl7xc2z,2026-05-07T23:56:34.692Z
joshuaerlich.bsky.social,notdred.bsky.social,"I (thankfully) do not work on biothreats anymore, but some of y’all know me from Covid-era twitter and before that (!) from Ebola-era twitter so if it is helpful to you: I don’t think you need to be concerned about hantavirus",2026-05-07T23:31:46.080Z,at://did:plc:ifdrlmbmpk3whcpjxsgbqyqn/app.bsky.feed.post/3mlcerk5hc22k,2026-05-07T23:45:30.490Z
joshuaerlich.bsky.social,rincewind.run,"this place never feels smaller than when it’s the Stancil Show for days on end, it is exhausting",2026-05-07T23:39:26.552Z,at://did:plc:6hit5rjdbmlnscmuk4bbtmuc/app.bsky.feed.post/3mlcf7bbvys2s,2026-05-07T23:40:34.672Z
joshuaerlich.bsky.social,sodrock.bsky.social,It would be funny if it was a one off thing but it seems like it’s once a week at this point and it’s just annoying how much bandwidth it takes up my feed no matter how many times I ban stancil,2026-05-07T23:37:19.584Z,at://did:plc:zi6x5ppoqiomymqr7s47em4o/app.bsky.feed.post/3mlcf3i75ss2a,2026-05-07T23:40:26.673Z
joshuaerlich.bsky.social,rincewind.run,"it is the defining characteristic that has made him into an actual internet personality but it is clearly also ruining his life

and also he is genuinely just some guy, you can ignore his takes and block him if you think they’re bad, he has no institutional power at all",2026-05-07T23:35:11.126Z,at://did:plc:6hit5rjdbmlnscmuk4bbtmuc/app.bsky.feed.post/3mlcexnowkc2s,2026-05-07T23:40:20.169Z
