uri,url,author_handle,text,created_at,like_count,repost_count,reply_count,quote_count,news_or_opinion_category,is_political,is_self_contained,is_structurally_complete,toxicity_prob,toxicity_tier,political_stance
at://did:plc:r4jv6ovwzxhfx7xfwelz7dwa/app.bsky.feed.post/3mmyyn5ubms23,https://bsky.app/profile/bonescrosby.bsky.social/post/3mmyyn5ubms23,bonescrosby.bsky.social,"Resolve the Citizens United issue. More strictly define gun rights. Age limit of 72 for all three branches of govt. Abolition of Senate. House terms are four years. 

Lots of others’ suggestions",2026-05-29 11:50:59.687000-05:00,4,0,2,0,opinion,True,True,True,0.015267765,low,right
at://did:plc:jljrsmoxxtz37q66g2chzv6z/app.bsky.feed.post/3mmyyekgasc2g,https://bsky.app/profile/paulhaider74.bsky.social/post/3mmyyekgasc2g,paulhaider74.bsky.social,John Lennon resided in Weybridge from 1965 to 1966. 🇬🇧🎸🏴󠁧󠁢󠁥󠁮󠁧󠁿 I am extending my life by using the NHS instead of the DOA healthcare system of the USA in a nation of gun violence and a dying democracy. 🇺🇸🔫🤪🚨🇷🇺🤡👑 Hard pass for me!,2026-05-29 11:46:10.869000-05:00,0,0,0,0,opinion,True,True,True,0.23451406,medium,left
at://did:plc:hsd6gnddmn62f5d2r3jzqsry/app.bsky.feed.post/3mmyxt4eqek2j,https://bsky.app/profile/wileynickel.com/post/3mmyxt4eqek2j,wileynickel.com,We don’t have to accept gun violence as inevitable. We don’t need more thoughts and prayers. We need the courage to take action and use tools that can save lives.,2026-05-29 11:36:23.581000-05:00,14,3,0,0,opinion,True,True,True,0.02968135,low,left
at://did:plc:z47enkw4ua4fsyq62vlhcqxw/app.bsky.feed.post/3mmyxdn2di22d,https://bsky.app/profile/personalvivi.bsky.social/post/3mmyxdn2di22d,personalvivi.bsky.social,"This isn't to say that gun control isn't sorely needed - in particular, ""red flag"" laws would stop a lot of mass shooters in their tracts - remember what I said about how most have a history of committing domestic violence.

But we never seem to bring up the other aspects.",2026-05-29 11:27:46.329000-05:00,12,2,2,0,opinion,True,True,True,0.08004235,low,left
at://did:plc:z47enkw4ua4fsyq62vlhcqxw/app.bsky.feed.post/3mmyxbidh7s2d,https://bsky.app/profile/personalvivi.bsky.social/post/3mmyxbidh7s2d,personalvivi.bsky.social,"I think the prominence of calls for gun control in the aftermath of mass shootings have left right-wing narratives about the CHARACTER of mass shooters basically uncontested, and the extent to which mass shooters represent an escalating pattern of bullying from kids with privilege obscured",2026-05-29 11:26:34.276000-05:00,14,5,1,0,opinion,True,True,True,0.16331999,medium,left
at://did:plc:5edutbcjbvtmshgnlm3dqnsn/app.bsky.feed.post/3mmyx5fybok24,https://bsky.app/profile/paripetia.bsky.social/post/3mmyx5fybok24,paripetia.bsky.social,"I disagree that we don't need a new constitution, I just don't want it written by corporations. We need a constitution that does not give anyone gun rights. Let that be a state issue now. We need a constitution that plainly outlaws slavery. Currently slavery is legal in prison. Rights of nature.",2026-05-29 11:24:17.594000-05:00,1,0,0,0,opinion,True,True,True,0.09112182,low,left
at://did:plc:3xepiia4o2vi72cspauocraa/app.bsky.feed.post/3mmyx2hfjac2t,https://bsky.app/profile/djtahoe.bsky.social/post/3mmyx2hfjac2t,djtahoe.bsky.social,"Yes, we actually do know. Also, the Second Amendment was *never* intended to fight off tyranny, that was NRA propaganda.",2026-05-29 11:22:38.414000-05:00,0,0,0,0,opinion,True,True,True,0.04785245,low,right
at://did:plc:7adattnzwycnqd4li53vqg4x/app.bsky.feed.post/3mmywmxadzs2d,https://bsky.app/profile/westendgrl.bsky.social/post/3mmywmxadzs2d,westendgrl.bsky.social,"private prisons for profit?!
think on that
the longer the time the more profit
more criminals the more the profit
what could go wrong?
no prison should be for profit, and if so, 80% needs to go to mental health services.  
when is that gun control going into effect? hahah",2026-05-29 11:15:05.260000-05:00,0,0,0,0,opinion,True,True,True,0.1373533,medium,left
at://did:plc:2uivt62xkkz55tyiulxzb3ch/app.bsky.feed.post/3mmywm6jqa22l,https://bsky.app/profile/billseye.bsky.social/post/3mmywm6jqa22l,billseye.bsky.social,Trump is putting the finishing touches on his attack of our first amendment rights. If only the Republicans would be upset as they get when an attempt to legislate common sense regulation on second amendment right to own firearms is even discussed. ABC broadcasting next. Total censorship’s the goal.,2026-05-29 11:14:39.351000-05:00,0,0,0,0,opinion,True,True,True,0.061444655,low,left
at://did:plc:fgx2meacgtgvjoudmc2uzlqm/app.bsky.feed.post/3mmywi42zgk2q,https://bsky.app/profile/pematchop.bsky.social/post/3mmywi42zgk2q,pematchop.bsky.social,"#PA Advocacy Opportunity!

Firearms are the leading cause of death among children in the US. Join @ceasefirepa, and hundreds of survivors, healthcare workers, and community members in Harrisburg on:

June 2

To advocate for life-saving gun violence prevention legislation.",2026-05-29 11:12:22-05:00,0,0,1,0,opinion,True,True,True,0.033806015,low,left
at://did:plc:cusaw5uta6s5lnonfv77fqph/app.bsky.feed.post/3mmywascekc25,https://bsky.app/profile/reclaimingsunday.bsky.social/post/3mmywascekc25,reclaimingsunday.bsky.social,"Once again Americans, if only a few people in a tiny country without a Second Amendment were able to end the tyranny of Mussolini and his fascist enablers in one day, the least you could do is forcibly remove and imprison the entirety of your current fascist regime. It’s your constitutional duty.",2026-05-29 11:08:17.422000-05:00,0,0,0,0,opinion,True,True,True,0.3286776,medium,left
at://did:plc:65lajs2naecrkmwgazzgz62u/app.bsky.feed.post/3mmyw4cyz422g,https://bsky.app/profile/giffords.org/post/3mmyw4cyz422g,giffords.org,"This AAPI Heritage Month, we’re proud to endorse this strong slate of leaders who understand the devastating toll hate-fueled gun violence has taken on Asian American communities. They are committed to building a safer future for everyone.",2026-05-29 11:05:47.167000-05:00,9,2,1,1,opinion,True,True,True,0.0926474,low,left
at://did:plc:4fd463xn7xbvgswz7wolvjt4/app.bsky.feed.post/3mmyvsra3w22w,https://bsky.app/profile/harryanna.bsky.social/post/3mmyvsra3w22w,harryanna.bsky.social,"Because the American people allow him to, even though they have a second amendment and more than 350 million weapons",2026-05-29 11:00:26.545000-05:00,0,0,0,0,opinion,True,True,True,0.04785245,low,unclear
at://did:plc:lgaygody2ykq5iwninfxyzre/app.bsky.feed.post/3mmyvn5bgl22s,https://bsky.app/profile/indianpaintbrush.bsky.social/post/3mmyvn5bgl22s,indianpaintbrush.bsky.social,Think this only gets worse for them too because the attacks on public lands are forcing a lot of Teddy Roosevelt styled “rugged Christian’s” further to the left than gun rights debates pushed them to the right.,2026-05-29 10:57:17.845000-05:00,0,0,0,0,opinion,True,True,True,0.2312681,medium,left
at://did:plc:wrqrpjtklqskyd5z6f2cqy5u/app.bsky.feed.post/3mmyvg7teo22d,https://bsky.app/profile/pooldude.bsky.social/post/3mmyvg7teo22d,pooldude.bsky.social,"Republican voters are not intelligent enough to understand that Republican politicians are lying to them 

They use things like racism and gun rights, specifically because they motivate a large amount of self-absorbed people. It's the same reason they have taken up the abortion argument",2026-05-29 10:53:25.355000-05:00,0,0,2,0,opinion,True,True,True,0.37751234,medium,left
at://did:plc:2mow7kzge7glgb2jljb2ypfn/app.bsky.feed.post/3mmytk433xc2c,https://bsky.app/profile/girlgrace.bsky.social/post/3mmytk433xc2c,girlgrace.bsky.social,I can't believe it's gonna be 10 years since pulse massacre happened I'm standing with the 49 lives who were taken so soon by gun violence we need to do better in America Stop the violence let's save America,2026-05-29 10:19:48.441000-05:00,0,0,0,0,opinion,True,True,True,0.14082454,medium,left
at://did:plc:rwdnojpotckuwmo3tzxb4lbh/app.bsky.feed.post/3mmytdnjj4k2v,https://bsky.app/profile/frank-mcg.bsky.social/post/3mmytdnjj4k2v,frank-mcg.bsky.social,"Yeah. No place is perfect. But all the nations ex-usa have less gun violence.  So the usa needs to adopt their gun laws.  IMO. The rest of policing/Justice/prisons well, that varies in all nations.",2026-05-29 10:16:11.859000-05:00,0,0,1,0,opinion,True,True,True,0.03828422,low,left
at://did:plc:cjxgy42vdiklh35qxyeojmaj/app.bsky.feed.post/3mmyrvgpho52x,https://bsky.app/profile/techbrobot.bsky.social/post/3mmyrvgpho52x,techbrobot.bsky.social,"More gun control isn't the answer. It disarms responsible citizens & does nothing to stop criminals. We must address the *real* problems: mental health crisis, societal decay. Empower individuals, don't disarm them. #Freedom #2A",2026-05-29 09:50:21.168885-05:00,0,0,0,0,opinion,True,True,True,0.05205809,low,right
at://did:plc:6aw4p4tkwc5qf4mvzlwz7p5j/app.bsky.feed.post/3mmyr6ca5hc2c,https://bsky.app/profile/tituskingholiday.bsky.social/post/3mmyr6ca5hc2c,tituskingholiday.bsky.social,"All guns are fucking designed to kill people or animals.

All guns over all are designed to kill and allowing the citizenry to access the same thing the government has evens the playing field.

Go be a gun grabbing cuck Fascist somewhere else.

Gun Rights are Minority Rights.",2026-05-29 09:37:24.761000-05:00,0,0,0,0,opinion,True,True,True,0.7701451,high,left
at://did:plc:b4z45k7trqcss6bjpih2azie/app.bsky.feed.post/3mmyoijxzak23,https://bsky.app/profile/notahero75.bsky.social/post/3mmyoijxzak23,notahero75.bsky.social,"If a criminal shoots someone with a stolen gun then work out a plea deal and end up with only guilty of discharging a firearm within a city, and a fine it’s a mockery of gun control and safety concerns that’s not the NRA that’s generally liberal DA’s wanting to give a criminal a 15th chance",2026-05-29 08:49:27.112000-05:00,1,0,0,0,opinion,True,True,True,0.17285149,medium,left
at://did:plc:vg6xcxg4hafkdr5jbb6cizx5/app.bsky.feed.post/3mmyn4krok22n,https://bsky.app/profile/sharonlandry.bsky.social/post/3mmyn4krok22n,sharonlandry.bsky.social,"America has a history of ignoring : stealing the land and the genocide of indigenous people, slavery, Jim Crow, the Epstein Files, gun violence, climate change. Historically ignoring early warnings, public outcries, science, and civil rights. Now many are turning and ignoring fascism.",2026-05-29 08:24:51.649000-05:00,1,0,0,0,opinion,True,True,True,0.25727063,medium,left
at://did:plc:b4z45k7trqcss6bjpih2azie/app.bsky.feed.post/3mmymf26yzs23,https://bsky.app/profile/notahero75.bsky.social/post/3mmymf26yzs23,notahero75.bsky.social,"You can’t as long as we keep up the inconsistent approach.  The same people who claim to want to keep us safe with gun control are the same people who advocate for no bail, letting criminals out early, and other excuses to not actually punish criminals who endanger us",2026-05-29 08:11:42.508000-05:00,0,0,1,0,opinion,True,True,True,0.08953904,low,right
at://did:plc:ftxb44r3bzx4afmr2odn3t6k/app.bsky.feed.post/3mmym7jgl6c22,https://bsky.app/profile/tuftyindigo.bsky.social/post/3mmym7jgl6c22,tuftyindigo.bsky.social,Demonstrating competence before you can operate a vehicle in public? That's a slippery slope towards gun control!,2026-05-29 08:08:37.158000-05:00,2,0,0,0,opinion,True,True,True,0.06896287,low,right
at://did:plc:d2vt42xj542m2cxu5upgvzgk/app.bsky.feed.post/3mmym6bujis2x,https://bsky.app/profile/frittitailchaser.bsky.social/post/3mmym6bujis2x,frittitailchaser.bsky.social,"The rest of the world doesn't understand that decades of propaganda swung around our own Second Amendment and aimed it at our own faces. 

The term Russian Roulette would be fantastic here for various reasons.",2026-05-29 08:07:55.672000-05:00,0,0,0,0,opinion,True,True,True,0.07450261,low,right
at://did:plc:b4ds3ci5jworfo6r5rvcvszm/app.bsky.feed.post/3mmylkj3plk2h,https://bsky.app/profile/redregon.bsky.social/post/3mmylkj3plk2h,redregon.bsky.social,"Well, granted... They could strip every American's rights from them. They could torch the constitution. But I think that would trigger an immediate and proportional reaction, especially from the gun-toting second-amendment types.",2026-05-29 07:56:52.159000-05:00,0,0,1,0,opinion,True,True,True,0.11171334,medium,right
at://did:plc:cv5lew66vhcxhvzvwky7v6gp/app.bsky.feed.post/3mmyljdoxos2p,https://bsky.app/profile/dmlundeen.bsky.social/post/3mmyljdoxos2p,dmlundeen.bsky.social,Right. Racist/hate group/especially right wing violence is a huge problem! It’s a small subset of the problem of generalized or even spectacle based gun violence in this country. It serves no purpose at all not to be clear eyed about all this.,2026-05-29 07:56:12.938000-05:00,2,0,0,0,opinion,True,True,True,0.22712809,medium,left
at://did:plc:csqioavhmhk3sv63hnp6qeqg/app.bsky.feed.post/3mmylgyvrns2d,https://bsky.app/profile/linz13.bsky.social/post/3mmylgyvrns2d,linz13.bsky.social,Isn’t this exact scenario the reason they say they need guns? They’re making big arguments for gun control.,2026-05-29 07:54:54.524000-05:00,0,0,0,0,opinion,True,True,True,0.05725329,low,unclear
at://did:plc:kmdd6wiblotah6trcbeaukjh/app.bsky.feed.post/3mmyjhsw3422g,https://bsky.app/profile/hcgvindiana.bsky.social/post/3mmyjhsw3422g,hcgvindiana.bsky.social,"On June 5, National Gun Violence Awareness Day, we will #WearOrange to call attention to our nation’s preventable gun violence crisis, which takes nearly 47,000 lives every single year.",2026-05-29 07:19:34.306000-05:00,3,3,0,0,opinion,True,True,True,0.03639866,low,left
at://did:plc:zoynfijwbhjx4fjdul5v4a46/app.bsky.feed.post/3mmz4ukng3k25,https://bsky.app/profile/gopcrazies.bsky.social/post/3mmz4ukng3k25,gopcrazies.bsky.social,"you are now stating that standard background checks should thoroughly examine every posting a person has ever made on social media and the landlord could then use ONE post as a condition to deny tenancy.
I get it, you think YOUR bigotry is righteous. 
there is no moral justification you can offer",2026-05-29 13:06:42.943000-05:00,0,0,2,0,opinion,True,True,True,0.19986437,medium,unclear
at://did:plc:ndx5fdygwnreep5f4k7a5ixg/app.bsky.feed.post/3mmz3onxynk2m,https://bsky.app/profile/beambayonet.bsky.social/post/3mmz3onxynk2m,beambayonet.bsky.social,"Firearms are legal in NY state but heavily regulated (10 round mag cap? No bayonet lug? How does that effect anything meaningfully) which is huge but NYC specifically defines anything that remotely looks like a firearm as a firearm including air rifles, airsoft, nerf, water pistols, etc",2026-05-29 12:45:31.364000-05:00,3,0,1,0,opinion,True,True,True,0.050573748,low,left
at://did:plc:nlwlryolbglj4so5vu53xghx/app.bsky.feed.post/3mmyzecwzr42q,https://bsky.app/profile/shevotesil.bsky.social/post/3mmyzecwzr42q,shevotesil.bsky.social,"Big win for survivor safety in Illinois! 

SB3329 has passed, closing dangerous loopholes & strengthening protections for survivors of #DomesticViolence. The bill strengthens firearm surrender enforcement & helps ensure survivors are notified about important changes that could impact their safety.",2026-05-29 12:03:56.748000-05:00,1,0,0,0,opinion,True,True,True,0.011749268,low,left
at://did:plc:b54v6eyytayw4olor2qbgpmz/app.bsky.feed.post/3mmyyjzwjis22,https://bsky.app/profile/onlineskeleton.bsky.social/post/3mmyyjzwjis22,onlineskeleton.bsky.social,"I'd tweak the second to automatically include a national firearms registry, and to limit gun show sales. Also mandatory background checks for centerfire handguns.",2026-05-29 11:49:14.904000-05:00,1,0,1,0,opinion,True,True,True,0.025085296,low,left
at://did:plc:7t2nlnnsowc7y6xft4ijo4sg/app.bsky.feed.post/3mmyx6qauz225,https://bsky.app/profile/momsdemandaction.org/post/3mmyx6qauz225,momsdemandaction.org,"A convicted felon is facing charges after his 3-year-old accessed a gun that had been left on a mantle and discharged it, killing his 1-year-old. The man was not legally allowed to have a gun but our nation’s lax gun laws make it all too easy for guns to fall into the wrong hands and end lives.",2026-05-29 11:25:01.905478-05:00,7,1,0,0,opinion,True,True,True,0.13908891,medium,left
at://did:plc:ek4jrl6m2vc4jl7ajjg233fk/app.bsky.feed.post/3mmytrxjjfi2q,https://bsky.app/profile/progessivedefense.bsky.social/post/3mmytrxjjfi2q,progessivedefense.bsky.social,"We believe responsible firearm ownership means more than rights. It means proper training, secure storage, and accountability to keep our communities safe. These principles help prevent violence and build lasting stability where all people can feel secure.",2026-05-29 10:24:11.863000-05:00,0,0,1,0,opinion,True,True,True,0.01419965,low,left
at://did:plc:zhe7gepsb2hkfdcbshrugltg/app.bsky.feed.post/3mmysmt2oyi2e,https://bsky.app/profile/sailingsteve.bsky.social/post/3mmysmt2oyi2e,sailingsteve.bsky.social,These clowns seem to think they are the only ones with batons and other non-firearm weapons. People will push back harder and harder.,2026-05-29 10:03:25.913000-05:00,6,1,1,0,opinion,True,True,True,0.5559701,medium,unclear
at://did:plc:i5gmnybq64snuv2wbmpqqgsr/app.bsky.feed.post/3mmysguvqa22y,https://bsky.app/profile/jrcarney52.bsky.social/post/3mmysguvqa22y,jrcarney52.bsky.social,"Universal healthcare; paid leave; childcare, eldercare, mental health, and addiction treatment; living wages; strong unions; affordable housing; debt-free public education; voting rights; gun reform; climate jobs; tax billionaires; break monopolies; end corporate lobbying. ✊",2026-05-29 10:00:06.520000-05:00,0,0,0,0,opinion,True,True,True,0.02343543,low,left
at://did:plc:kud5uvk2ijrmk4nmu66rfkw5/app.bsky.feed.post/3mmylql3ust2z,https://bsky.app/profile/sugardoubts.bsky.social/post/3mmylql3ust2z,sugardoubts.bsky.social,"Exploring the tangled web of our gun laws and the haunting echoes of history. When rights and wrongs blur, how do we reshape our story? #GunLaws #HellerDebate",2026-05-29 08:00:12.397000-05:00,1,0,0,0,opinion,True,True,True,0.040430736,low,unclear
at://did:plc:gi3tnijmq4mae32wssrkqquh/app.bsky.feed.post/3mmydtdsuxc2z,https://bsky.app/profile/zenweb.bsky.social/post/3mmydtdsuxc2z,zenweb.bsky.social,"Every single country that has implemented stricter gun laws has seen a definite improvement and that's a fact. Only Americans seem too stupid to comprehend basic cause and effect. Some people say that people are the problem, not guns. If that's the case then why give the problem guns ???",2026-05-29 05:38:38.681000-05:00,2,2,2,0,opinion,True,True,True,0.584095,medium,left
at://did:plc:ohgy2fg7tx37he7nxvtf6c73/app.bsky.feed.post/3mmy7avb7ns2v,https://bsky.app/profile/michaeljstern.bsky.social/post/3mmy7avb7ns2v,michaeljstern.bsky.social,"A man in Switzerland went crazy and started attacking people with a knife at a train station.

Three people were injured but are still alive.

If a similar event were to happen in the United States, the attacker would have a semi automatic firearm and 25 people would be dead.

It’s the guns.",2026-05-29 04:16:44.471000-05:00,53,11,4,0,opinion,True,True,True,0.29405528,medium,left
at://did:plc:h2ktnbihbuefxdsdnpjg72z2/app.bsky.feed.post/3mmxpea3sek2j,https://bsky.app/profile/cmaguire3.bsky.social/post/3mmxpea3sek2j,cmaguire3.bsky.social,"The ppl claiming to have guns to fight tyranny are maga asshats.

Dems aren’t the gun-slingers. We vote for gun reform laws, which the magats in the House and Senate vote against.

And sadly, yes, dems know how fucking stupid we as a country look because of TRAITOR tRump and his cult.",2026-05-28 23:32:16.626000-05:00,0,0,0,0,opinion,True,True,True,0.78711975,high,left
at://did:plc:7ltu4gdc2ebbsd7pm6tycf2e/app.bsky.feed.post/3mmxo6e5l4k2m,https://bsky.app/profile/fiscal-balance.bsky.social/post/3mmxo6e5l4k2m,fiscal-balance.bsky.social,Americans shouldn't be executed for exercising their constitutional right to bear arms. A holstered firearm is a danger to no one.,2026-05-28 23:11:05.810000-05:00,0,0,0,0,opinion,True,True,True,0.11223003,medium,right
at://did:plc:tbaycr3xjlfplnwv5rmi7wiy/app.bsky.feed.post/3mmxgdoali223,https://bsky.app/profile/gibbsmoryss.bsky.social/post/3mmxgdoali223,gibbsmoryss.bsky.social,"They support someone known to have bad intentions towards girls and who can't bring himself to advocate for changes in gun laws after ongoing school shootings, of course they don't care about kids.",2026-05-28 20:50:54.233000-05:00,1,0,0,0,opinion,True,True,True,0.19893374,medium,left
at://did:plc:hvldswx3gq6ijpshquxoncbg/app.bsky.feed.post/3mmxdtjj4ek2s,https://bsky.app/profile/brandtforcongress.bsky.social/post/3mmxdtjj4ek2s,brandtforcongress.bsky.social,"We don't want mass shootings or tragedies that could have been prevented. Our kids and communities can't wait anymore. We need Gun Reform NOW.  And I'm not worried about NRA ""grades"" or other special interest groups. I'm unbought and accountable only to the people. We CAN choose a safer reality.",2026-05-28 20:06:04.886000-05:00,5,5,0,0,opinion,True,True,True,0.07845957,low,left
at://did:plc:dh3zppmzjohqyo2qblcphp6k/app.bsky.feed.post/3mmxcecdmw22s,https://bsky.app/profile/murphyjencubs.bsky.social/post/3mmxcecdmw22s,murphyjencubs.bsky.social,At her age to be dealing with this utter &%#$🤬  All because god forbid we have common sense gun laws. I'm am so the generations of kids who have grown up to realize a lot of adults think more of their weapons than they do children.,2026-05-28 19:39:40.337000-05:00,2,0,0,0,opinion,True,True,True,0.3389984,medium,left
at://did:plc:j75ohwp36dmamlcgaj3l6tjm/app.bsky.feed.post/3mmx6qd57f22g,https://bsky.app/profile/iwantmytwodollars.bsky.social/post/3mmx6qd57f22g,iwantmytwodollars.bsky.social,"I sure hope you’re arguing for common sense gun laws, then. Thats an actual problem. Top killer of children. Or do you not care about children? By your logic, we’d have to ban everything involving crime: driving, gun ownership, stock trades.I wonder if you hear yourself or are just too embarrassed.",2026-05-28 18:34:48.859000-05:00,1,0,0,0,opinion,True,True,True,0.3245134,medium,left
at://did:plc:7t2nlnnsowc7y6xft4ijo4sg/app.bsky.feed.post/3mmx2isnhyw2n,https://bsky.app/profile/momsdemandaction.org/post/3mmx2isnhyw2n,momsdemandaction.org,"When they’re not advocating for stronger gun laws, our volunteers are taking other actions to prevent gun violence. Like our Toledo volunteers, who are supporting the city's “Store It Safe” initiative that gives community members the resources and information they need to secure their firearms.
",2026-05-28 17:19:01.705844-05:00,21,3,0,0,opinion,True,True,True,0.019226074,low,left
at://did:plc:ijqklhh7lctbjswe5mh3lbz3/app.bsky.feed.post/3mmyxnszhes22,https://bsky.app/profile/hangedman1984.bsky.social/post/3mmyxnszhes22,hangedman1984.bsky.social,"Fucking godsdamn shame, not the least because 99.999% of the time us ""weird kids"" were the ones least likely to commit a mass shooting",2026-05-29 11:33:28.135000-05:00,4,0,0,0,opinion,True,True,True,0.8696708,high,unclear
at://did:plc:z47enkw4ua4fsyq62vlhcqxw/app.bsky.feed.post/3mmywa32rms2d,https://bsky.app/profile/personalvivi.bsky.social/post/3mmywa32rms2d,personalvivi.bsky.social,"It's telling how deeply ingrained these false narratives are that when I mention the most consistent predictor of perpetrating a mass shooting is ""a history of domestic violence"", people assume I'm saying a history of being a VICTIM

No, I'm saying a history of PERPETRATING domestic violence.",2026-05-29 11:07:53.064000-05:00,32,2,1,0,opinion,True,True,True,0.11378009,medium,left
at://did:plc:luj5rs7vt77ovxbuzmsw5bk5/app.bsky.feed.post/3mmyuwlinvc2f,https://bsky.app/profile/fsfraize.bsky.social/post/3mmyuwlinvc2f,fsfraize.bsky.social,NRA is a terrorist organization run by criminals.  People that support them are domestic terrorists.,2026-05-29 10:44:41.010000-05:00,0,0,0,0,opinion,True,True,True,0.50503236,medium,left
at://did:plc:k7q46pry7inack4vs2q45t4p/app.bsky.feed.post/3mmyug7w3fs2z,https://bsky.app/profile/opposablethumbs.bsky.social/post/3mmyug7w3fs2z,opposablethumbs.bsky.social,"Good point. Closed campgrounds, trash-strewn turn-outs, and ATVs tearing past one's family can grab anyone's interest. Relatedly, I don't like the notion of luring and shooting wild birds, but I do appreciate Ducks Unlimited's conservation efforts. I won't ask where the NRA stands on this, though.",2026-05-29 10:35:31.996000-05:00,1,0,0,0,opinion,True,True,True,0.16765249,medium,neutral
